Game,	Server,	Faction
Diablo Immortal,	Europe-French,	Ammuit
Diablo Immortal,	Europe-French,	Beledwe
Diablo Immortal,	Europe-French,	Charsi
Diablo Immortal,	Europe-French,	Dravec
Diablo Immortal,	Europe-French,	Esu
Diablo Immortal,	Europe-French,	Kabraxis
Diablo Immortal,	Europe-French,	Leoric
Diablo Immortal,	Europe-French,	Not Listed - Message Seller
Diablo Immortal,	Europe-French,	Skarn
Diablo Immortal,	Europe-German,	Akeba
Diablo Immortal,	Europe-German,	El'Druin
Diablo Immortal,	Europe-German,	Harrogath
Diablo Immortal,	Europe-German,	Hemlir
Diablo Immortal,	Europe-German,	Hratli
Diablo Immortal,	Europe-German,	Larzuk
Diablo Immortal,	Europe-German,	Not Listed - Message Seller
Diablo Immortal,	Europe-German,	Qual-Kehk
Diablo Immortal,	Europe-German,	Segithis
Diablo Immortal,	Europe-German,	Tabri
Diablo Immortal,	Europe-German,	Vizjerei
Diablo Immortal,	Europe-German,	Zolthrax
Diablo Immortal,	Europe-Italian,	Aranoch
Diablo Immortal,	Europe-Italian,	Horadric Malus
Diablo Immortal,	Europe-Italian,	Not Listed - Message Seller
Diablo Immortal,	Europe-Italian,	Sescheron
Diablo Immortal,	Europe-Italian,	Talus'ar
Diablo Immortal,	Europe-Polish,	Al''Maiesh
Diablo Immortal,	Europe-Polish,	Cathan
Diablo Immortal,	Europe-Polish,	Crodric
Diablo Immortal,	Europe-Polish,	Itherael
Diablo Immortal,	Europe-Polish,	Karshun
Diablo Immortal,	Europe-Polish,	Kion
Diablo Immortal,	Europe-Polish,	Not Listed - Message Seller
Diablo Immortal,	Europe-Polish,	Warden of Everfrost
Diablo Immortal,	Europe-Polish,	Wodem Castell
Diablo Immortal,	Europe-Spanish,	Fara
Diablo Immortal,	Europe-Spanish,	Farnham
Diablo Immortal,	Europe-Spanish,	Greiz
Diablo Immortal,	Europe-Spanish,	Not Listed - Message Seller
Diablo Immortal,	Europe-Spanish,	Zatham
Diablo Immortal,	NA-East,	Albrecht
Diablo Immortal,	NA-East,	Arcane Sanctuary
Diablo Immortal,	NA-East,	Arkaine's Valor
Diablo Immortal,	NA-East,	Darkening of Tristram
Diablo Immortal,	NA-East,	Doombringer
Diablo Immortal,	NA-East,	Eternal Conflict
Diablo Immortal,	NA-East,	Greed
Diablo Immortal,	NA-East,	Hadriel
Diablo Immortal,	NA-East,	Helliquary
Diablo Immortal,	NA-East,	High Heavens
Diablo Immortal,	NA-East,	Iceburn Tear
Diablo Immortal,	NA-East,	Lysander
Diablo Immortal,	NA-East,	Mask of Jeram
Diablo Immortal,	NA-East,	Meshif
Diablo Immortal,	NA-East,	Not Listed - Message Seller
Diablo Immortal,	NA-East,	Plains of Despair
Diablo Immortal,	NA-East,	Prime Evils
Diablo Immortal,	NA-East,	Rat King
Diablo Immortal,	NA-East,	Risen Dead
Diablo Immortal,	NA-East,	Sandro the Mouth
Diablo Immortal,	NA-East,	Silver Spire
Diablo Immortal,	NA-East,	Sin War
Diablo Immortal,	NA-East,	Soul Siphon
Diablo Immortal,	NA-East,	The Curator
Diablo Immortal,	NA-East,	The Fallen
Diablo Immortal,	NA-East,	The Last Vestige
Diablo Immortal,	NA-East,	The Malus
Diablo Immortal,	NA-East,	The Worldstone
Diablo Immortal,	NA-East,	Town Portal
Diablo Immortal,	NA-East,	Treasure Goblin
Diablo Immortal,	NA-East,	Tree of Inifuss
Diablo Immortal,	NA-East,	Ureh
Diablo Immortal,	NA-East,	Wirt
Diablo Immortal,	NA-West,	Amber Blades
Diablo Immortal,	NA-West,	Black Abyss
Diablo Immortal,	NA-West,	Breath of the Dying
Diablo Immortal,	NA-West,	Burning Hells
Diablo Immortal,	NA-West,	Caldesann
Diablo Immortal,	NA-West,	Call to Arms
Diablo Immortal,	NA-West,	Chains of Honor
Diablo Immortal,	NA-West,	Crescent Moon
Diablo Immortal,	NA-West,	Cult of Damnation
Diablo Immortal,	NA-West,	Deckard Cain
Diablo Immortal,	NA-West,	Dry Steppes
Diablo Immortal,	NA-West,	End of Days
Diablo Immortal,	NA-West,	Eternal Crown
Diablo Immortal,	NA-West,	Halls of the Blind
Diablo Immortal,	NA-West,	Hand of Justice
Diablo Immortal,	NA-West,	Heart of the Oak
Diablo Immortal,	NA-West,	Kanai
Diablo Immortal,	NA-West,	Khalim's Will
Diablo Immortal,	NA-West,	Not Listed - Message Seller
Diablo Immortal,	NA-West,	Old Growth
Diablo Immortal,	NA-West,	Pandemonium
Diablo Immortal,	NA-West,	Purus the Decimator
Diablo Immortal,	NA-West,	Sand Scorpions
Diablo Immortal,	NA-West,	Star of Azkaranth
Diablo Immortal,	NA-West,	Stormshield
Diablo Immortal,	NA-West,	The Gidbinn
Diablo Immortal,	NA-West,	The Soulstones
Diablo Immortal,	NA-West,	The Triune
Diablo Immortal,	NA-West,	Wailing Beast
Diablo Immortal,	NA-West,	Zoltun Kulle
Diablo Immortal,	Not Listed,	Message Seller
Diablo Immortal,	Oceania,	Azmodan
Diablo Immortal,	Oceania,	Bloodsworn
Diablo Immortal,	Oceania,	Not Listed - Message Seller
Diablo Immortal,	SA-Portuguese,	Akara
Diablo Immortal,	SA-Portuguese,	Asylla
Diablo Immortal,	SA-Portuguese,	Bailey
Diablo Immortal,	SA-Portuguese,	Belial
